shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_536_1,24.83862,125.16338,10001
shapes_536_1,24.83864,125.16337,10002
shapes_536_1,24.83923,125.16399,10003
shapes_536_1,24.8393,125.16403,10004
shapes_536_1,24.83917,125.16423,10005
shapes_536_1,24.83917,125.16423,20001
shapes_536_1,24.8389,125.16462,20002
shapes_536_1,24.83872,125.16487,20003
shapes_536_1,24.83857,125.16505,20004
shapes_536_1,24.83804,125.1657,20005
shapes_536_1,24.83804,125.1657,30001
shapes_536_1,24.838,125.16576,30002
shapes_536_1,24.83782,125.16591,30003
shapes_536_1,24.83769,125.16601,30004
shapes_536_1,24.83751,125.16612,30005
shapes_536_1,24.83722,125.16627,30006
shapes_536_1,24.83722,125.16627,40001
shapes_536_1,24.83711,125.16632,40002
shapes_536_1,24.83653,125.16652,40003
shapes_536_1,24.83642,125.16656,40004
shapes_536_1,24.83632,125.16659,40005
shapes_536_1,24.83589,125.16667,40006
shapes_536_1,24.83523,125.16679,40007
shapes_536_1,24.83164,125.1673,40008
shapes_536_1,24.83125,125.16737,40009
shapes_536_1,24.83069,125.16747,40010
shapes_536_1,24.83018,125.16756,40011
shapes_536_1,24.83018,125.16756,50001
shapes_536_1,24.82995,125.16761,50002
shapes_536_1,24.82923,125.16774,50003
shapes_536_1,24.82877,125.16782,50004
shapes_536_1,24.82847,125.16786,50005
shapes_536_1,24.8282,125.16791,50006
shapes_536_1,24.82805,125.16797,50007
shapes_536_1,24.82789,125.16807,50008
shapes_536_1,24.82719,125.16879,50009
shapes_536_1,24.82685,125.16915,50010
shapes_536_1,24.82684,125.16916,50011
shapes_536_1,24.8268,125.1692,50012
shapes_536_1,24.8268,125.1692,60001
shapes_536_1,24.82616,125.16984,60002
shapes_536_1,24.82556,125.17051,60003
shapes_536_1,24.82556,125.17051,70001
shapes_536_1,24.82552,125.17056,70002
shapes_536_1,24.82506,125.17097,70003
shapes_536_1,24.82455,125.17134,70004
shapes_536_1,24.82449,125.17138,70005
shapes_536_1,24.82373,125.17177,70006
shapes_536_1,24.82303,125.17211,70007
shapes_536_1,24.82233,125.17253,70008
shapes_536_1,24.82132,125.17307,70009
shapes_536_1,24.82052,125.17346,70010
shapes_536_1,24.82045,125.1735,70011
shapes_536_1,24.82045,125.1735,80001
shapes_536_1,24.82,125.17372,80002
shapes_536_1,24.81965,125.17405,80003
shapes_536_1,24.81924,125.17459,80004
shapes_536_1,24.81924,125.1746,80005
shapes_536_1,24.81924,125.1746,90001
shapes_536_1,24.81924,125.17459,90002
shapes_536_1,24.81884,125.17505,90003
shapes_536_1,24.81861,125.17533,90004
shapes_536_1,24.81808,125.17583,90005
shapes_536_1,24.81764,125.17626,90006
shapes_536_1,24.8176,125.17631,90007
shapes_536_1,24.81761,125.17633,90008
shapes_536_1,24.81761,125.17633,100001
shapes_536_1,24.81788,125.17687,100002
shapes_536_1,24.81801,125.17704,100003
shapes_536_1,24.81811,125.17714,100004
shapes_536_1,24.81833,125.17736,100005
shapes_536_1,24.81833,125.17736,100006
shapes_536_1,24.81833,125.17736,110001
shapes_536_1,24.81877,125.17789,110002
shapes_536_1,24.81893,125.1781,110003
shapes_536_1,24.81935,125.17865,110004
shapes_536_1,24.81938,125.17858,110005
shapes_536_1,24.81959,125.17833,110006
shapes_536_1,24.81998,125.17803,110007
shapes_536_1,24.82141,125.17984,110008
shapes_536_1,24.82193,125.18053,110009
shapes_536_1,24.82226,125.18099,110010
shapes_536_1,24.8234,125.18234,110011
shapes_536_1,24.8241,125.18179,110012
shapes_536_1,24.82409,125.18227,110013
shapes_536_1,24.82411,125.18248,110014
shapes_536_1,24.82425,125.18314,110015
shapes_536_1,24.82435,125.18349,110016
shapes_536_1,24.82446,125.18381,110017
shapes_536_1,24.82458,125.18409,110018
shapes_536_1,24.82468,125.18425,110019
shapes_536_1,24.82476,125.18437,110020
shapes_536_1,24.82497,125.1846,110021
shapes_536_1,24.82512,125.18472,110022
shapes_536_1,24.82536,125.18489,110023
shapes_536_1,24.82567,125.18507,110024
shapes_536_1,24.82626,125.18539,110025
shapes_536_1,24.82662,125.18561,110026
shapes_536_1,24.82702,125.18592,110027
shapes_536_1,24.8274,125.18624,110028
shapes_536_1,24.82758,125.18643,110029
shapes_536_1,24.82765,125.1865,110030
