trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
2546a6c250769f423b20a7639b99cad4,11:30:00,11:30:00,S5415,1,,0,0
2546a6c250769f423b20a7639b99cad4,11:32:00,11:32:00,S5416,2,,0,0
2546a6c250769f423b20a7639b99cad4,11:34:00,11:34:00,S5417,3,,0,0
2546a6c250769f423b20a7639b99cad4,11:36:00,11:36:00,S5418,4,,0,0
2546a6c250769f423b20a7639b99cad4,11:37:00,11:37:00,S5423,5,,0,0
2546a6c250769f423b20a7639b99cad4,11:39:00,11:39:00,S5422,6,,0,0
2546a6c250769f423b20a7639b99cad4,11:41:00,11:41:00,S5421,7,,0,0
2546a6c250769f423b20a7639b99cad4,11:44:00,11:44:00,S5420,8,,0,0
2546a6c250769f423b20a7639b99cad4,11:45:00,11:45:00,S5419,9,,0,0
2546a6c250769f423b20a7639b99cad4,11:48:00,11:48:00,S1781,10,,0,0
2546a6c250769f423b20a7639b99cad4,11:51:00,11:51:00,S1783,12,,0,0
2546a6c250769f423b20a7639b99cad4,11:53:00,11:53:00,S1784,13,,0,0
2546a6c250769f423b20a7639b99cad4,11:55:00,11:55:00,S1785,14,,0,0
2546a6c250769f423b20a7639b99cad4,12:08:00,12:08:00,S1786,15,,0,0
2546a6c250769f423b20a7639b99cad4,12:09:00,12:09:00,S1787,16,,0,0
2546a6c250769f423b20a7639b99cad4,12:10:00,12:10:00,S1806,17,,0,0
2546a6c250769f423b20a7639b99cad4,12:11:00,12:11:00,S1807,18,,0,0
2546a6c250769f423b20a7639b99cad4,12:12:00,12:12:00,S1788,19,,0,0
2546a6c250769f423b20a7639b99cad4,12:16:00,12:16:00,S5424,20,,0,0
2546a6c250769f423b20a7639b99cad4,12:17:00,12:17:00,S1791,21,,0,0
2546a6c250769f423b20a7639b99cad4,12:20:00,12:20:00,S1792,22,,0,0
2546a6c250769f423b20a7639b99cad4,12:28:00,12:28:00,S1794,23,,0,0
2546a6c250769f423b20a7639b99cad4,12:28:00,12:28:00,S1795,24,,0,0
2546a6c250769f423b20a7639b99cad4,12:29:00,12:29:00,S1796,25,,0,0
2546a6c250769f423b20a7639b99cad4,12:30:00,12:30:00,S1797,26,,0,0
2546a6c250769f423b20a7639b99cad4,12:31:00,12:31:00,S1799,27,,0,0
2546a6c250769f423b20a7639b99cad4,12:32:00,12:32:00,S1800,28,,0,0
2546a6c250769f423b20a7639b99cad4,12:33:00,12:33:00,S1801,29,,0,0
2546a6c250769f423b20a7639b99cad4,12:34:00,12:34:00,S1802,30,,0,0
2546a6c250769f423b20a7639b99cad4,12:34:00,12:34:00,S1803,31,,0,0
2546a6c250769f423b20a7639b99cad4,12:35:00,12:35:00,S1804,32,,0,0
2546a6c250769f423b20a7639b99cad4,12:35:00,12:35:00,S1805,33,,0,0
b324cd2134d20c66737836c974f62dac,13:30:00,13:30:00,S5415,1,,0,0
b324cd2134d20c66737836c974f62dac,13:32:00,13:32:00,S5416,2,,0,0
b324cd2134d20c66737836c974f62dac,13:34:00,13:34:00,S5417,3,,0,0
b324cd2134d20c66737836c974f62dac,13:36:00,13:36:00,S5418,4,,0,0
b324cd2134d20c66737836c974f62dac,13:37:00,13:37:00,S5423,5,,0,0
b324cd2134d20c66737836c974f62dac,13:39:00,13:39:00,S5422,6,,0,0
b324cd2134d20c66737836c974f62dac,13:41:00,13:41:00,S5421,7,,0,0
b324cd2134d20c66737836c974f62dac,13:44:00,13:44:00,S5420,8,,0,0
b324cd2134d20c66737836c974f62dac,13:45:00,13:45:00,S5419,9,,0,0
b324cd2134d20c66737836c974f62dac,13:48:00,13:48:00,S1781,10,,0,0
b324cd2134d20c66737836c974f62dac,13:51:00,13:51:00,S1783,12,,0,0
b324cd2134d20c66737836c974f62dac,13:53:00,13:53:00,S1784,13,,0,0
b324cd2134d20c66737836c974f62dac,13:55:00,13:55:00,S1785,14,,0,0
b324cd2134d20c66737836c974f62dac,14:08:00,14:08:00,S1786,15,,0,0
b324cd2134d20c66737836c974f62dac,14:09:00,14:09:00,S1787,16,,0,0
b324cd2134d20c66737836c974f62dac,14:10:00,14:10:00,S1806,17,,0,0
b324cd2134d20c66737836c974f62dac,14:11:00,14:11:00,S1807,18,,0,0
b324cd2134d20c66737836c974f62dac,14:12:00,14:12:00,S1788,19,,0,0
b324cd2134d20c66737836c974f62dac,14:16:00,14:16:00,S5424,20,,0,0
b324cd2134d20c66737836c974f62dac,14:17:00,14:17:00,S1791,21,,0,0
b324cd2134d20c66737836c974f62dac,14:20:00,14:20:00,S1792,22,,0,0
b324cd2134d20c66737836c974f62dac,14:28:00,14:28:00,S1794,23,,0,0
b324cd2134d20c66737836c974f62dac,14:28:00,14:28:00,S1795,24,,0,0
b324cd2134d20c66737836c974f62dac,14:29:00,14:29:00,S1796,25,,0,0
b324cd2134d20c66737836c974f62dac,14:30:00,14:30:00,S1797,26,,0,0
b324cd2134d20c66737836c974f62dac,14:31:00,14:31:00,S1799,27,,0,0
b324cd2134d20c66737836c974f62dac,14:32:00,14:32:00,S1800,28,,0,0
b324cd2134d20c66737836c974f62dac,14:33:00,14:33:00,S1801,29,,0,0
b324cd2134d20c66737836c974f62dac,14:34:00,14:34:00,S1802,30,,0,0
