stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
S1805,,佐和田車庫,,24.838570,125.163307,S1805,,,
S1804,,スーパーみなみ,,24.839136,125.164200,S1804,,,
S1803,,長浜多目的施設前,,24.838037,125.165695,S1803,,,
S1802,,ダキヤー,,24.837191,125.166199,S1802,,,
S1801,,伊良部小学校前,,24.830191,125.167580,S1801,,,
S1800,,ヤング理髪店前,,24.826803,125.169197,S1800,,,
S1799,,国仲公民館前,,24.825569,125.170517,S1799,,,
S1797,,仲地入口,,24.820362,125.173588,S1797,,,
S1796,,ファミリーショップ渡久山,,24.819258,125.174591,S1796,,,
S1795,,ダキフガー,,24.817636,125.176323,S1795,,,
S1794,,伊良部公民館前,,24.818336,125.177368,S1794,,,
S1792,,高校入口,,24.832886,125.192169,S1792,,,
S1791,,徳洲会病院前,,24.840427,125.203743,S1791,,,
S1788,,JA佐良浜店前,,24.843712,125.209152,S1788,,,
S1807,,大主神社前,,24.843599,125.211502,S1807,,,
S1806,,佐良浜石油前,,24.842426,125.212196,S1806,,,
S1787,,佐良浜港,,24.838036,125.213890,S1787,,,
S1785,,ドリームキャッスル前,,24.792044,125.268089,S1785,,,
S1784,,カーサフェリーチェ前,,24.794065,125.269989,S1784,,,
S1783,,ファミリーマート久貝店前,,24.796743,125.272522,S1783,,,
S1782,,実業高校前,,24.800071,125.275471,S1782,,,
S1781,,宮古病院,,24.799674,125.275903,S1781,,,
S1790,,上里商店,,24.842817,125.205788,S1790,,,
S1786,,土産品店ふるさと前,,24.838102,125.211975,S1786,,,
S5424,,結の橋学園前,,24.837318,125.205934,S5424,,,
S5419,,A&W前,,24.803398,125.279571,S5419,,,
S5420,,沖銀前,,24.802149,125.280709,S5420,,,
S5421,,アツママー前,,24.800166,125.283928,S5421,,,
S5422,,宮古高校前,,24.797478,125.287033,S5422,,,
S5423,,くらはし病院前,,24.798503,125.289382,S5423,,,
S5418,,宮古郵便局前,,24.798454,125.290717,S5418,,,
S5417,,のづ文具前,,24.796176,125.292470,S5417,,,
S5416,,警察署前,,24.791933,125.294669,S5416,,,
S5415,,宮古島市役所,,24.789809,125.295064,S5415,,,
